,Trial_nr,Choice,Reward,probability_1,probability_2,probability_3,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3,weight_PE,weight_LP,weight_Nov,model_1_probability,model_2_probability,model_3_probability
66,66.0,2.0,0.0,0.5436635,0.37527099630325,0.271149495687125,0.6,0.7,0.5,0.6,0.0,0.5,2.0,0.0,1.0,,,,0.3533479157410129,0.37146445078323753,0.27518763347574954
67,67.0,3.0,0.0,0.5436635,0.3940128664141525,0.271149495687125,0.6,0.7,0.5,0.6,0.7,0.0,3.0,1.0,0.0,,,,0.3862707663886902,0.2462971147979463,0.3674321188133635
68,68.0,1.0,0.0,0.5436635,0.3940128664141525,0.2930150108165112,0.6,0.7,0.5,0.0,0.7,0.5,0.0,2.0,1.0,,,,0.3883257680168782,0.3513716852892231,0.2603025466938988
69,69.0,2.0,0.0,0.5573535949999999,0.3940128664141525,0.2930150108165112,0.6,0.8,0.5,0.6,-0.10000000000000009,0.5,1.0,0.0,2.0,,,,0.25569612687816107,0.38145379716805655,0.3628500759537825
70,70.0,3.0,0.0,0.5573535949999999,0.41219248042172796,0.2930150108165112,0.6,0.8,0.5,0.6,0.8,0.0,2.0,1.0,0.0,,,,0.3762507860900979,0.22820763750462394,0.3955415764052781
71,71.0,1.0,0.0,0.5573535949999999,0.41219248042172796,0.31422456049201586,0.7,0.8,0.5,-0.09999999999999998,0.8,0.5,0.0,2.0,1.0,,,,0.37651771737869627,0.3581547316164597,0.2653275510048439
72,72.0,3.0,1.0,0.5706329871499999,0.41219248042172796,0.31422456049201586,0.7,0.8,0.4,0.7,0.8,0.09999999999999998,1.0,3.0,0.0,,,,0.23713352298215065,0.39096708333672947,0.37189939368111985
73,73.0,3.0,1.0,0.5706329871499999,0.41219248042172796,0.33479782367725536,0.7,0.8,0.4,0.7,0.8,0.0,2.0,4.0,0.0,,,,0.34200876515982453,0.37797814098160176,0.28001309385857376
74,74.0,3.0,0.0,0.5706329871499999,0.41219248042172796,0.3547538889669377,0.7,0.8,0.4,0.7,0.8,0.0,3.0,5.0,0.0,,,,0.35137168528922313,0.38832576801687824,0.2603025466938988
75,75.0,1.0,1.0,0.5706329871499999,0.41219248042172796,0.37411127229792956,0.7,0.8,0.4,0.0,0.8,0.4,0.0,6.0,1.0,,,,0.355889742946556,0.39331899394595154,0.2507912631074925
76,76.0,1.0,1.0,0.5835139975354999,0.41219248042172796,0.37411127229792956,0.6,0.8,0.4,0.09999999999999998,0.8,0.4,0.0,7.0,2.0,,,,0.22689291231964576,0.4346226373621515,0.33848445031820285
77,77.0,3.0,0.0,0.5960085776094349,0.41219248042172796,0.37411127229792956,0.6,0.8,0.5,0.6,0.8,-0.09999999999999998,1.0,8.0,0.0,,,,0.2357830846644149,0.42962479138109744,0.3345921239544877
78,78.0,3.0,1.0,0.5960085776094349,0.41219248042172796,0.3928879341289917,0.6,0.8,0.4,0.6,0.8,0.09999999999999998,2.0,9.0,0.0,,,,0.32012747339621755,0.4542825089097236,0.2255900176940588
79,79.0,3.0,1.0,0.5960085776094349,0.41219248042172796,0.41110129610512197,0.6,0.8,0.4,0.6,0.8,0.0,3.0,10.0,0.0,,,,0.3127083095004873,0.4437542141875981,0.24353747631191472
80,80.0,1.0,0.0,0.5960085776094349,0.41219248042172796,0.4287682572219683,0.6,0.8,0.4,0.0,0.8,0.4,0.0,11.0,1.0,,,,0.32012747339621755,0.45428250890972366,0.22559001769405881
